,Summary,,,,,,,,,,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,,,,
Sat,78,,,,,,,,,,50,52,40,52,49,44,48,45,42,,,,,,,,,,,,,
Unsat,56,,,,,,,,,,36,38,17,35,20,5,17,31,19,,,,,,,,,,,,,
,5.3604651163,,,,,,,,,,5.3604651163,-,4.8596491228,4.3563218391,3.347826087,-,2.8307692308,-,2.7868852459,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Status,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,Filename,Sat,Unsat,Unknown
,unsat,unsat,unsat,unsat,unsat,unsat,-,unsat,unsat,unsat,0.8539008,3.372,12.104419,0.7824932,41.86208,t/o,12.1961155,8.45,41.950607,6,-,6,6,6,-,6,-,6,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_1.smt2,16,0,2
,unsat,unsat,unsat,unsat,unsat,-,-,unsat,unsat,-,3.4246774,5.736,19.445831,3.437863,t/o,t/o,19.524065,11.02,t/o,6,-,6,6,-,-,6,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_2.smt2,12,0,6
,unsat,-,unsat,unsat,-,-,-,unsat,unsat,-,t/o,13.221,46.556343,t/o,t/o,t/o,41.257267,22.52,t/o,-,-,6,-,-,-,6,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_3.smt2,8,0,10
,unsat,-,unsat,-,-,-,-,-,unsat,-,t/o,41.791,t/o,t/o,t/o,t/o,t/o,37.17,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_4.smt2,4,0,14
,unsat,unsat,unsat,unsat,unsat,unsat,-,unsat,unsat,-,3.4825976,5.82,19.112415,3.4649887,58.325874,t/o,19.226122,11.12,t/o,6,-,6,6,6,-,6,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_1.smt2,14,0,4
,unsat,-,unsat,unsat,-,-,-,unsat,unsat,-,t/o,11.965,47.81114,t/o,t/o,t/o,43.852753,19.95,t/o,-,-,6,-,-,-,6,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_2.smt2,8,0,10
,unsat,-,unsat,-,-,-,-,-,unsat,-,t/o,32.89,t/o,t/o,t/o,t/o,t/o,48.16,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_3.smt2,4,0,14
,unsat,-,-,-,-,-,-,-,unsat,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,52.44,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_4.smt2,2,0,16
,unsat,-,unsat,unsat,-,-,-,unsat,unsat,-,t/o,13.545,45.518806,t/o,t/o,t/o,47.53983,19.56,t/o,-,-,6,-,-,-,6,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_1.smt2,8,0,10
,unsat,-,unsat,-,-,-,-,-,unsat,-,t/o,32.858,t/o,t/o,t/o,t/o,t/o,32.76,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_2.smt2,4,0,14
,unsat,-,-,-,-,-,-,-,unsat,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,53.72,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_3.smt2,2,0,16
,unsat,-,-,-,-,-,-,-,unsat,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,51.17,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_4.smt2,2,0,16
,unsat,-,unsat,-,-,-,-,-,unsat,-,t/o,27.834,t/o,t/o,t/o,t/o,t/o,45,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_1.smt2,4,0,14
,unsat,-,-,-,-,-,-,-,unsat,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,51.71,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_2.smt2,2,0,16
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_3.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_4.smt2,0,0,18
,sat,-,sat,sat,-,sat,-,sat,sat,sat,t/o,52.047,16.010006,t/o,2.234226,t/o,1.9715452,54.43,2.0656397,-,-,6,-,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div2.c.10.smt2,0,12,6
,sat,-,-,sat,-,sat,-,sat,-,sat,t/o,t/o,56.811447,t/o,4.559568,t/o,38.55797,t/o,3.8700495,-,-,7,-,1,-,3,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div2.c.20.smt2,0,8,10
,sat,-,-,-,-,sat,-,-,-,sat,t/o,t/o,t/o,t/o,15.598841,t/o,t/o,t/o,27.74298,-,-,-,-,2,-,-,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/div2.c.30.smt2,0,4,14
,sat,-,sat,sat,sat,sat,sat,sat,sat,sat,t/o,2.588,10.455427,1.6323724,1.579753,0.064,1.8377634,8.2,3.1325927,-,-,8,1,2,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/div2.c.3.smt2,0,16,2
,sat,-,-,-,-,sat,-,-,-,sat,t/o,t/o,t/o,t/o,25.936054,t/o,t/o,t/o,39.349922,-,-,-,-,2,-,-,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/div2.c.40.smt2,0,4,14
,sat,-,-,-,-,sat,-,-,-,sat,t/o,t/o,t/o,t/o,51.12355,t/o,t/o,t/o,18.184526,-,-,-,-,3,-,-,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div2.c.50.smt2,0,4,14
,sat,sat,sat,sat,sat,sat,-,sat,sat,sat,27.39195,15.709,15.661507,8.707264,2.192684,t/o,2.025591,23.18,5.0322833,7,-,6,7,1,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/div3.c.10.smt2,0,16,2
,sat,sat,sat,sat,sat,sat,sat,sat,-,sat,3.0469472,55.083,14.831187,2.828066,8.935223,13.529,4.8189235,t/o,14.971554,1,-,4,1,2,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/div3.c.20.smt2,0,16,2
,sat,sat,-,sat,sat,sat,sat,sat,-,sat,6.317483,t/o,13.06642,6.1794515,32.34182,2.804,17.532509,t/o,38.21812,1,-,2,1,3,-,2,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/div3.c.30.smt2,0,14,4
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,4.031359,2.224,1.6232533,0.8315147,1.586402,0.356,0.93612504,6.76,2.8657637,7,-,2,1,2,-,1,-,3,../../../benchmarks/QF_FP_R/griggio/fmcad12/div3.c.3.smt2,0,18,0
,sat,sat,-,sat,sat,sat,-,sat,-,sat,7.590102,t/o,15.739213,7.159282,11.580535,t/o,22.8291,t/o,10.308537,1,-,2,1,1,-,2,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div3.c.40.smt2,0,12,6
,sat,sat,-,sat,sat,sat,sat,-,-,sat,6.7715073,t/o,8.401019,5.826972,20.220161,11.793,t/o,t/o,20.4535,1,-,1,1,1,-,-,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div3.c.50.smt2,0,12,6
,sat,sat,sat,sat,sat,sat,-,sat,sat,sat,45.343277,15.797,33.24676,13.970065,2.1668994,t/o,3.7726636,29.99,5.093188,8,-,8,2,1,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/div.c.10.smt2,0,16,2
,sat,-,sat,-,-,sat,-,sat,-,sat,t/o,55.151,t/o,t/o,5.4277573,t/o,32.360764,t/o,4.053651,-,-,-,-,1,-,2,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div.c.20.smt2,0,8,10
,sat,-,-,sat,-,sat,-,sat,-,sat,t/o,t/o,46.770878,t/o,10.881189,t/o,30.900318,t/o,10.376457,-,-,6,-,1,-,2,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div.c.30.smt2,0,8,10
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,5.3817697,2.224,0.9171647,0.9365941,0.8729018,0.02,1.6681209,5.99,0.70231223,8,-,1,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div.c.3.smt2,0,18,0
,sat,-,-,sat,-,sat,-,-,-,sat,t/o,t/o,19.439224,t/o,11.17191,t/o,t/o,t/o,9.741378,-,-,2,-,1,-,-,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/div.c.40.smt2,0,6,12
,sat,-,-,-,-,-,-,sat,-,-,t/o,t/o,t/o,t/o,t/o,t/o,44.71234,t/o,t/o,-,-,-,-,-,-,2,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/div.c.50.smt2,0,2,16
,sat,sat,sat,sat,sat,sat,-,sat,sat,sat,5.1398826,0.24,1.4564222,0.72151005,0.5263396,t/o,6.4573793,1.6,0.5120117,9,-,3,1,1,-,10,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e1_1.c.smt2,0,16,2
,sat,sat,sat,sat,sat,sat,-,sat,sat,sat,5.036164,0.24,1.492741,0.6693081,0.5044688,t/o,6.232586,1.6,0.5004034,9,-,3,1,1,-,10,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e1_2.c.smt2,0,16,2
,sat,sat,sat,sat,sat,sat,-,sat,sat,sat,7.580578,0.28,0.68000454,1.2106125,1.1560458,t/o,0.7804453,1.47,1.0170652,8,-,1,2,2,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/e1.c.smt2,0,16,2
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,0.9966228,0.984,1.0097775,1.0440009,0.9361739,0.016,1.1375978,5.95,0.68773293,1,-,1,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2_1.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,0.9372389,0.228,1.7368009,0.9715387,0.95032525,0.008,1.0309869,0.9,0.6078479,1,-,2,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2_2.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,0.90234035,0.208,0.9525892,0.95171344,0.89421076,0.008,1.0220894,0.93,0.60059893,1,-,1,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2_3.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,0.68338567,0.208,1.3339285,0.82556504,0.7003913,0.008,0.82180053,0.09,0.7868322,1,-,2,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2a_1.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,3.47303,0.2,0.75727123,3.7713518,0.68588436,0.008,0.8824106,0.78,0.68326837,7,-,1,7,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2a_2.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,3.8364,0.196,0.7629016,3.7242732,0.63822603,0.008,0.8128988,0.81,0.6147321,7,-,1,7,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2a_3.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,3.2454362,1.568,1.3680884,2.2568738,1.2856022,0.104,1.3309566,6.82,1.061059,3,-,1,2,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e2.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,1.9983861,3.624,6.998333,3.8466992,1.1806144,0.024,2.200435,8.63,1.1595174,2,-,4,3,1,-,2,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e3_1.c.smt2,0,18,0
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,2.0125427,1.24,2.1299572,7.076563,1.0948881,0.072,2.150569,6.57,1.1422942,2,-,2,6,1,-,2,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/e3_2.c.smt2,0,18,0
,unsat,-,unsat,-,-,unsat,unsat,-,unsat,unsat,t/o,0.004,t/o,t/o,7.3732686,0.004,t/o,10.06,7.2563667,-,-,-,-,6,-,-,-,6,../../../benchmarks/QF_FP_R/griggio/fmcad12/e3.c.smt2,10,0,8
,sat,-,-,-,-,-,-,-,sat,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,22.72,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/f23.smt2,0,2,16
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.125.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.175.smt2,0,0,18
,sat,-,-,-,-,-,sat,-,-,-,t/o,t/o,t/o,t/o,t/o,30.302,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.25.smt2,0,2,16
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/gaussian.c.75.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_000003_30000_1.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3000_1.smt2,0,0,18
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,29.398,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_1.smt2,2,0,16
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,21.617,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_2.smt2,2,0,16
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,36.086,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_3.smt2,2,0,16
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_4.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_5.smt2,0,0,18
,-,-,-,-,-,-,-,-,-,-,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_6.smt2,0,0,18
,unsat,-,unsat,-,-,-,-,-,-,-,t/o,33.898,t/o,t/o,t/o,t/o,t/o,t/o,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_30_7.smt2,2,0,16
,sat,-,sat,-,-,-,sat,-,sat,-,t/o,32.226,t/o,t/o,t/o,0.156,t/o,33.67,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/mul_03_3_1.smt2,0,6,12
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,1.8854139,3.436,3.4487429,1.6941091,3.8357835,0.34,3.707363,9.49,6.1423388,1,-,2,1,2,-,2,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.10.smt2,0,18,0
,sat,sat,sat,-,sat,sat,sat,sat,sat,sat,3.259851,13.505,t/o,2.9463189,3.7371771,1.048,2.9287517,10.37,3.3114214,1,-,-,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.20.smt2,0,16,2
,sat,sat,sat,-,sat,sat,sat,sat,sat,sat,5.443485,30.306,t/o,5.3187747,5.097022,0.344,4.404151,13.51,3.3630812,1,-,-,1,1,-,1,-,1,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.30.smt2,0,16,2
,sat,sat,sat,sat,sat,sat,sat,sat,sat,sat,20.347775,0.34,4.117298,0.8604841,1.4666511,0.008,0.87856555,1.37,1.7029736,11,-,6,1,2,-,1,-,2,../../../benchmarks/QF_FP_R/griggio/fmcad12/mult1.c.3.smt2,0,18,0
